,name,category_1,category_2,origin,description
1068,Kologe Sanneod Vineyardss Spifos reof Pinot Noir 2017,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","The 2017 vintage of ‘Spifos’ has a brilliant ruby red hue. The nose offers fresh floral aromas of violets and rose petals with red fruit flavors of cherries, strawberries and red cherries. The mouthfeel is medium-bodied with bright acidity. The flavors mirror aromas with a touch of tannins. The finish is long with lingering flavors of ripe fruit."
1069,Semontinok binfandel Montelours Red Blend 2017,Red Wine,Other Red Blends,"Margaret River, Western Australia, Australia","A wine with a bright, deep purple color. The aromas are dominated by red and black fruits with aromas of violets and sweet oak. The palate is vibrant with dark fruit flavors, while the fruit weight of the blend is balanced by fresh acidity and lingering tannins. The wine finishes with a slightly softer acidity and lingering tannins. The overall impression is a smooth and elegant wine with a good acid balance."
1070,Clirey Les Turtinyas Schoare Chardonnay 2004,White Wine,Chardonnay,"Burgundy, France","This is a very generous and intense wine with excellent fruit intensity.  The aromas offer intense aromas of vanilla, tropical fruit and peach, with a touch of vanilla from the barrel.  The flavors are ripe, sweet and round with sweet fruit augmented by notes of toast and honey.  The finish is long, fresh and round.  The wine will continue to improve for the next 2- 3 years.  The wine can be served slightly chilled.  Serve well-chilled."
1071,Clos de Shanai Veldlingerg 2015,White Wine,Other White Blends,"Pfalz, Germany","This wine has the distinctive aromas of the noble grape variety Veldlingerg Twist. The aromas and flavor match the aromas and the aroma is fresh, with juicy flavors of white peaches, nectarines and lemon.  The mouthfeel is medium-bodied and has a pleasant acidity, with good balance between the sweetness of the grape and the acidity. The finish is long, with flavors of honey and pear, lingering on the palate."
1072,Aaf Follya Pinot Noir 2016,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Aaf Follya Willamette Valley Pinot Noir is a lush, elegant wine with juicy aromas of strawberry, cherry and tea leaves. On the palate, this wine is bright and refreshing with flavors of red and black fruits with subtle mineral undertones. This wine is very approachable now, and will cellar well for up to five years."
1073,Uren Kiskono Roose 2004,White Wine,Other White Blends,"Willamette Valley, Oregon","The 2004 Kiskono Roose has a very elegant and refined nose of lemon zest, peach, citrus, and mineral, with floral tones. The flavors mirror aromas with a citrus core, hints of honey and spice, and sweet, round mouthfeel.  The mouthfeel is full and lush with good acidity and long finish."
1074,Wawaughy Cabernet Sauvignon 2000,Red Wine,Cabernet Sauvignon,Chile,"The nose reveals black currants, cherries, blackberries and plums. The mouthfeel is soft and soft, with ripe, well-balanced tannins, sweetly tinged with cedar and mineral notes. The overall impression is smooth, supple and medium bodied. This wine will be very age-worthy and will continue to improve for the next 3-5 years."
1075,Laviinteasto Pinota Pinot Grigio 2006,White Wine,Pinot Gris/Grigio,"Friuli-Venezia Giulia, Italy","Laviinteasto is an excellent accompaniment to fish, shellfish, white meats, veal Hamburgers, fowl, mild cheeses and shellfish in sauces..  wine is refreshing, with aromas of grapefruit and citrus and flavors of citrus and mineral tones.  It has a crisp acidity, which is balanced by a creamy mouthfeel and a long finish.  A great companion to Asian and Asian foods, particularly Japanese, Thai, Indian and Indian spices."
1076,Barodg Raboni Chardonnay 2014,White Wine,Chardonnay,"Mendoza, Argentina","This wine shows intense and intense yellow color with greenish highlights. The nose features aromas of citrus, white fruits, peach, pineapple and pineapple, together with subtle floral and spicy aromas. On the palate it is fresh, pleasant and well-balanced. The mouthfeel is creamy, soft, and elegant, with flavors of citrus and pear, balanced by good acidity. The finish is pleasant, pleasant and pleasant."
1077,Celia Gtoblo Prrinas Rives Pinot Noir 2017,Red Wine,Pinot Noir,"Piedmont, Italy","The color is a deep red with ruby tones. Aromas are intense, with pronounced notes of ripe red fruits, with elegant floral notes. Fresh and balanced, the palate is balanced and fresh, with well-integrated tannins."
1078,Calarb Drussatne Cabernet alad 2017,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Aromas of black currant, blueberry and a hint of tobacco. Flavors mirror aromas with the same dark berry flavors and a touch of cedar. The mid-palate is full-bodied with a sweet and round mouthfeel. The finish is long and supple with well-integrated tannins."
1079,Benlan Estate Zinfender 2000,Red Wine,Zinfandel,"Sierra Foothills, California","Zinfandel has been a favorite wine grape variety in the Sierra Foothills for decades. The wine is known for its vibrant acidity and medium to full-bodied flavor that enhances the wines characteristics of medium color, medium tannin, and moderate alcohol.  The wine has a ripe, approachable style, making it a great companion to foods that are a good match for Zinfandel.  This is especially a good companion to grilled or lightly grilled foods.  The wine is an excellent match for grilled vegetables, salads, pastas with light sauces, and lightly grilled fish."
1080,Coekes Zinfandel 2008,Red Wine,Zinfandel,"Napa Valley, California","This is a vibrant wine with good color, ripe fruit and aromas of cherry, raspberry, currants, and blackberries. The flavors mirror aromas with a touch of spicy pepper and vanilla. It is full bodied, with rich, round tannins.  This wine is well-balanced with a lingering finish.  The wine is ready to drink now, but will cellar well for up to five years."
1081,Fernicran Croacs Chardonnay 1997,White Wine,Chardonnay,Chile,This wine is made from a variety of grape varieties.  The grapes for this wine come from the Maipo Valley vineyards of Chile.  These grapes are grown in an area that is considered to be one of the most distinguished regions in the Casablanca Valley.  The grapes are harvested at optimal ripeness.  The resulting wine is well-balanced and well-balanced between sweetness and acidity.  The wine is fermented in stainless steel tanks to preserve freshness.  The wine is aged in French oak barrels for a total of 24 months.
1082,Veinerita Casa Gressit Vineyard Al The Matither Atelick Merlot 2006,Red Wine,Merlot,"Central Coast, California","The 2006 Atel Epidemick is a very complex wine with great concentration and concentration of aromas and flavors. This is an approachable, supple and balanced wine with great complexity. The aromas are very appealing with spicy aromas of black pepper, clove and nutmeg, followed by vanilla and sweet oak. The flavors mirror aromas with an abundance of black cherry and blackberry with hints of spice, clove and sweet oak. The mouthfeel is very approachable with a round, mouth filling mouthfeel, soft, round tannins and an extremely long finish. The wine is drinking well now and Fiscaling and Serving Suggestions:  Serve at room temperature. Chair or leg of lamb or veal chops are great match for this wine. The wine can be paired with a variety of dishes from grilled steamed vegetables, roasted vegetables, lamb chops, pork roast, grilled fish, or roasted poultry.  Serve with a sweet potato fries with creamy headaches, roasted eggplant salad with roasted vegetables, roasted vegetables, roast vegetables, or a pasta with roasted tomatoes."
1083,D. Jhywonkon Old Chardonnay (375ML half-bottlle) 2014,White Wine,Chardonnay,South Africa,"This wine is light straw in color with green hues. The aromas feature a good amount of citrus and fresh tropical fruits. The flavors mirror aromas with a mouthwatering acidity and balanced fruit sweetness. The wine is well-balanced, with a good mouth-feel. The palate shows excellent volume with a nice sweetness and length of flavor."
1084,Dconiecher Compacy Lanmio Heyt Gryen Shean 2006,White Wine,Other White Blends,"Friuli-Venezia Giulia, Italy","Lanmio is a fresh, refreshing white wine that is perfect for sipping. This wine is a perfect accompaniment to pasta, poultry, veal, pork, pasta and rice dishes. Serve well chilled. Serve well chilled. Serve well chilled."
1085,IK Crevefliner Kittage Marvecos Nuimrahure 1993,Red Wine,Pinot Noir,"Burgundy, France",rish
1086,Zedra Rosse Gran-Goarcado 2013,Pink and Rosé,Rosé,Spain,"The Rosé is a vibrant and lively wine, with a perfect balance between freshness and mineral complexity. It is a versatile food companion, especially good with Mediterranean cuisine. Serve well chilled."
1087,TormMt-Roder Eighagem Classon Saulin Chardonnay 2017,White Wine,Chardonnay,"Burgenland, Austria",The Eighagem Class Render
1088,Rulend Estate Borset Tinth Treenin da Vioner 2012,Red Wine,Other Red Blends,Portugal,"Intense, ruby-red color with a hint of green. Aromas are fresh and intense with a hint of violet. The mouthfeel is fresh and well-balanced with good acidity, a good balance between fruit and oak, good freshness, well-integrated tannins, good structure, and a lingering finish."
1089,Chateau Parganel Masonoffere Charb-tot les 12 2011,Red Wine,Pinot Noir,"Willamette Valley, Oregon","In the glass, the wine opens with aromas of dark fruit, spice, and a hint of earthiness. On the palate, the wine is medium bodied with a very round mouthfeel, which is balanced by a lively acidity. The finish is long and fresh with notes of vanilla and lingering mineral tones.  This wine is ready to drink now and will cellar well for 3-4 years."
1090,Pacicia San Vier Cru 2016,Red Wine,Other Red Blends,"Colchagua Valley, Rap Europeana Valley, Chile","Deep ruby-red color with violet tones, this wine presents with aromas of ripe fruit, plum, cherries, blackberries and redcurrants, and delicate floral and spicy notes. On the palate, it presents with good balance between acidity and tannins, freshness and freshness of the fruit. A good drinkability with the intensity of the wine, freshness, freshness and minerality. It is a great companion for pasta, red meats, grilled fish, pizza, cheese, soft journeys, and medium-aged cheeses."
1091,Bargiautur's Creek Beausan Rose 2017,Pink and Rosé,Rosé,"Central Otago, New Zealand","This vintage is pale pink in color with vibrant tones. Aromas of grapefruit, strawberry, melon, and a hint of citrus. The palate has sweet, juicy flavours customize to our unique microclimates. The fruitiness of the palate is balanced by crisp acidity and crispness with ripe, juicy tannins. This wine is refreshing, with excellent acidity that will keep it fresh and lively for up to 5 years."
1092,Chateau La Griener Rads-Doran Cole Roberes Premier Cru 2011,Red Wine,Pinot Noir,"Alsace, France","The 2011 Cole Roberes shows red fruit aromas, with some earthy tones, typical of the terroir. The palate is medium bodied with well-rounded tannins. There is a pleasant acidity on the finish, which will add structure to the wine. The wine is enjoyable now and will cellar well for at least three years."
1093,Tejios Neape Syrah 1998,Red Wine,Syrah/Shiraz,Chile,"Deep ruby red with a red hue, this wine is characterized by a fresh and fruity aroma, with hints of violet and pepper.  The mouthfeel is fresh, round and smooth with a soft and lingering finish.  The overall impression is a very pleasant wine.  wine."
1094,Reon Sener Alexarder Wines Torola Zinfandel 2005,Red Wine,Zinfandel,"Sierra Foothills, California","This wine has a deep ruby color with a slight purple hue. The nose shows blackberry, cherry and black pepper with nuances of black pepper, cocoa powder, cigar box and anise. On the palate, the flavors mirror aromas with plum, red and black cherry, toasty vanilla, spice and a hint of leather. The Relaxing influence of oak gives the wine a velvety mouthfeel with good length on the finish. This wine is ready to drink now and will cellar well for the next 3-4 years. Enjoy this wine now and for the next 3-4 years."
1095,Bonoma FlaKn Cabernet Sauvignon 2010,Red Wine,Cabernet Sauvignon,"Central Coast, California","The 2010 vintage produced wines of superior quality. This is the result of a warm vintage with warm days and cool nights. The result is a wine with ripe, rich flavors of cassis, black cherries and spices with undertones of sweet oak and toasty vanilla from barrel aging.  The result is a wine with an elegant structure, balanced acidity and a lingering finish.  The 2010 vintage was another in a string of great vintages that resulted in wines that were the best of the vintage."
1096,Irouras Tostolo Tabere 2018,White Wine,Other White Blends,Spain,"Intense and bright yellow color with green tones. The nose is very clean and sharp with citrus, white flower and grapefruit aromas. The mouthfeel is fresh and fruity with crisp acidity and round mouthfeel. The wine is fresh and pleasant to drink, well balanced, with long and persistent finish."
1097,Hincast Coant-Chasener's Shir Helitage 2014,Red Wine,Syrah/Shiraz,"Central Coast, California","The 2014 vintage of Coanted-Chasener's Shiraz was picked at optimal ripeness, giving a wine with vibrant acidity, bright fruit, and spicy aromas. Aromas of ripe black cherries, raspberry and spice are followed by flavors of blackberries and sweet leather. The mouthfeel is full and round, with a long finish and supple tannins. The mouth feel is full and round, with a long finish and supple tannins. The finish is very long and fresh."
1098,Turgio Selrowa Monto 2007,Red Wine,Bordeaux Red Blends,"Napa Valley, California","Our 2007 Sel masterfully balances a rich mouth feel with rounder tannins. The wine has flavors of black cherry, vanilla, nutmeg and cedar with rich, well-integrated oak, which is followed by a silky, lingering finish. Enjoy this wine now or cellar for up to 3 years. The wine is well-balanced, well-balanced and will cellar well for the next 5 to 7 years."
1099,Cronter Le Albarinovari Rosera 2010,Red Wine,Other Red Blends,Spain,"Very deep ruby in color. Ripe red fruit aromas, with hints of coffee and vanilla, also integrated by subtle oak. Round, well-rounded, well-balanced and intense, with round and round, well-integrated tannins. An excellent match for grilled red meats, particularly those of the sea, or pasta dishes with a good color, cream sauce, with roasted tomatoes and a light touch of pepper.  Serve slightly chilled."
1100,Fllardi Michasso Dry Cree Pinot Noir 2000,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2000 Michasso is the second release of our Crisp Oregon style Pinot Noir. The wine is a great companion for foods that are highly flavored with fruit and spice, especially Asian cuisine, grilled fish, poultry and pasta dishes with tomato sauces."
1101,Adial Winery Mocheticko Valley Charlot 2008,Red Wine,Bordeaux Red Blends,Chile,"SUGGESTED FOOD PAIRINGS: The wine is an excellent companion for roasted, grilled and grilled red meat, poultry and cheese.  Serve at room temperature.  Serve at room temperature.     wine and foodfriendly style.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-ch fats.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled.  Serve well-chilled  Serve well-chilled."
1102,Domainin Ferrettai Toure Primiere 2007,Red Wine,Other Red Blends,Italy,"The bouquet is intense, aromatic and fruity with a hint of spice.  It is a well-rounded wine with soft, round and elegant tannins.  The finish is very long, with a touch of oak and a pleasant aftertaste.  wine & food pairings"
1103,Jeais-Jotsuhs Les Purrassier Rouge 2010,Red Wine,Pinot Noir,"Burgundy, France","Les Purrassier is a wine of complexity and depth, with aromas of red fruits, minerals and a touch of toast. The mouthfeel is round, full and rounder than its predecessor, and is balanced with supple tannins. The finish is long, fresh and fruity."
1104,Oosenque Vinvandol 2002,White Wine,Other White Blends,"Central Coast, California","This vintage of Vinvandol offers up intense aromas of pear, kiwi and spice.  The flavors mirror aromas with a hint of mineral overtones.  The mouthfeel is full and sweet, with generous mouth-coating flavors of pineapple and pear.  The finish is long, refreshing and balanced with a lingering hint of acidity."
1105,Domeine Bas Cartereaus-St. Janomaned Challani Whiteres 2001,White Wine,Other White Blends,"Burgundy, France","The first aromas are floral, citrus, floral, peach, citrus and white fruit with mineral and spicy. The mouth is very generous, round, smooth and fruity with a good body, long and fresh. The finish is dry, balanced and fresh."
1106,Kussiod Carileros Premier Cru Les Chambe 201 Martino-Chamberton Colptere Villnemtier 2013,Red Wine,Pinot Noir,"Carneros, California","Rich aromas of ripe fruit and spice with some brambly notes. Flavors mirror aromas with a touch of oak and spice. A sweet entry leads to a juicy mouthfeel with sweet tannins and a long, elegant finish. This wine is delicious with roasted or grilled fish, as well as dishes with roasted vegetables, vegetables with roasted tomatoes and roasted vegetables with herbs."
1107,Domaine de los Jaronse Blanc 2009,White Wine,Other White Blends,Spain,"The wine is a brilliant yellow colour with green tones.  It is fruity with intense aromas of ripe fruits such as pear and gooseberry, complemented by a mineral touch.  The mouthfeel Orange zest, peach and mineral notes.  The wine has good acidity with a well-balanced wine with a fresh finish."
1108,Boantia Luamina oloma Anice 2018,White Wine,Other White Blends,"Sicily, Italy","A wine that has been produced from grapes grown on the estate’s vineyards in the area of Sicily. The grapes are cultivated on an average of 1,800 vines per hectare and the grapes are hand-picked. The grapes are picked in the morning, pressed and vinified in stainless steel tanks before being aged in stainless steel tanks for 8 months."
1109,Quigia Il Pinot Noir 2011,Red Wine,Pinot Noir,"Friuli-Venezia Giulia, Italy","The Pinot Noir La Cola is a deep garnet red color with orange hues.  On the nose, it has intense aromas of red fruits, cherries, currants, strawberries, and violets with floral notes.  It is smooth, round, full-bodied and well-balanced on the palate.  The tannins are round, yet well-integrated, with good acidity and a long finish.   The wine is best paired with pasta dishes, grilled fish and roasted red meats.   The ideal pairings are with roasted eggplant, vegetables, vegetables, tomato, vegetables, rice and pasta dishes."
1110,Canrig Castata Munta Chardonnay 2010,White Wine,Chardonnay,Chile,"Vibrant aromas of fresh fruit and citrus, with a hint of floral notes. The mouthfeel is fresh and fresh, with flavors of citrus and mineral. The wine is balanced and well-balanced with good acidity. It has a pleasing mouthfeel, good length and good minerality. The finish is fresh, clean and fresh."
1111,Dr. Privard Croshelin Vineyard Marlon (OU Kosher) 2011,Red Wine,Bordeaux Red Blends,"Napa Valley, California","A blend of 80% Cabernet Sauvignon, 13% Merlot, 3% Malbec, 2% Cabernetizo, 2% Malbec, 2% Petit Verdot, 2% Malbec, 2% Merlot, 1% Cabernet Franc, 1% Malbec, 1% Petit Verdot, 1% Cabernet Franc, 1% Malbec, 1% Merlot, 1% Malbec, 1% Syrah, 1% Petit Verdot, 1% Malbec, 1% Merlot, 1% Malbec, 1% Merlot, 1% Petit Verdot, 1% Malbec, 1% Malbec, 1% Syrah, 1% Merlot, 1% Cabernet Franc, 1% Merlot, 1% Malbec, 1% Malbec, 1% Cabernet Sauvignon, 1% Malbec, 1% Merlot, 1% Cabernet Sauvignon, 1% Petit Verdot, 1% Malbec, 1% Malbec, 1% Cabernet Franc, 1% Merlot, 1% Merlot, 1% Cabernet Sauvignon, 1"
1112,Schomino Pinate Rigalo Alberouic Chardonnay 2013,White Wine,Chardonnay,"Collio Goriziano, Friuli-Venezia Giulia, Italy","Golden yellow with greenish tints Marriott. Elegant nose with attractive mineral notes and a touch of sweet hazelnut. Full-bodied mouthfeel with round and soft tannins. Intense flavor with strong acidity and long, persistent finish."
1113,Domaine de la Select (Fateru Prem) 2017,Red Wine,Bordeaux Red Blends,"Bordeaux, France","A wine with a beautiful ruby red color, with violet hints. The nose is expressive with notes of cherry and blue fruit, and a hint of vanilla. The mouth is supple and fruity with well-balanced tannins., it has a lively and refreshing attack, a very round and generous mouthfeel, and an elegant and persistent finish."
1114,Chateau Galriny-Reping 2006,Red Wine,Bordeaux Red Blends,Chile,"The wine has a very intense ruby-red color. The nose reveals aromas of blackberries, cherries, blackberries and chocolate with spicy notes. On the palate, it is round, full-bodied and smooth with ripe and velvety tannins. The long and pleasant finish makes this wine very food-friendly."
1115,Gondelly Grardsgichoge Pinot Noir 2002,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Our 2002 Grardsgichoge Pinot Noir is a blend of 80% Pinot Noir grapes from our vineyards in the Umpqua Valley, the Oregon Highlands and the Oregon Mountains. The wine shows aromas of cherry and vanilla with hints of cinnamon and nutmeg. Flavors mirror aromas with a hint of oak. The mouthfeel is soft and round with round, silky tannins and flavors of black cherries, blackberries and a touch of pepper. The finish is long with well-balanced acidity and lingering flavors of vanilla and spice. Our Grardsgichoge is an excellent food companion. It is also an excellent companion for grilled fish, poultry and rich cheeses."
1116,Carlacers Oak Syrah 1998,Red Wine,Syrah/Shiraz,"Willamette Valley, Oregon","Carlacerated aromas of ripe cherry and spice are followed by an elegant, full flavored wine with round, well-balanced tannins. The mouth feel is round and supple, with lingering flavors of spice and ripe fruit, while remaining bright and fresh.  The oak aging in new and older American oak has given this wine a subtle, toasty finish."
1117,La Crenea Vineyard Chardonnay,White Wine,Chardonnay,"Carneros, California","This wine displays a medium straw color. The aromas are expressive, with lemon zest, ripe pineapple and mineral notes. The flavors mirror aromas with fresh citrus, tropical fruit, pear and peach flavors that are balanced by toasted oak tones. The mouthfeel is medium to full bod untouched by oak, with a round, silky mouthfeel, with lingering, bright acidity. The finish is medium length and pleasingly long with mineral, oak and creamy texture."
1118,Norratt Reserve Menchelfers Pinot Falid Batita Valley Cabernet Sauvignon 1998,Red Wine,Cabernet Sauvignon,California,"Aromas of blackberries, plums and cherries.  Flavors mirror aromas with sweet cherry, black currant, blackberry and toasty oak.  Full bodied with soft, round tannins and balanced acidity.  The finish is long and spicy."
1119,Dry Curmess Pinot Griset Heriter Ferles 2006,White Wine,Pinot Gris/Grigio,"Alsace, France","Lemon color with light green hues. Clean and crisp aromas, with ripe fruit and floral notes.  On the palate, dry and medium bodied, with a fruity, floral, mineral, citrus and spicy character.  The wine is well-balanced, well-structured, with a pleasing and lingering finish."
1120,Granciez Toria Cabernet Sauvignon 2001,Red Wine,Cabernet Sauvignon,Chile,"Aromas of cherry, black currant and vanilla are accented by elegant, well-integrated oak notes. The mouthfeel is soft, soft, well-rounded and well-balanced. The wine is well-balanced and has a long translation to the palate. This wine has a good potential for aging.  The wine is ideal for pairing well with red meat dishes, such as braised and roasted vegetables, as well as roasted and grilled fish and pasta dishes with rich sauces."
1121,Faufing-Dorieisellyr Estate Pinot Noir 1998,Red Wine,Pinot Noir,"Willamette Valley, Oregon",A great companion to grilled fish and pasta dishes with cream sauces. Serve well-chilled.   winegrower's notes: The Pinot Noir Estate is a wine to enjoy now and for the next two years. The wine has good structure with good balance between Networks of Flavors and will continue to improve for the next 5-10 years.
1122,LAEgo Fonctin Chardonnay 2003,White Wine,Chardonnay,California,"Pale straw in color with a lively green tinge, this wine offers aromas of ripe tropical fruit, pear and pineapple with vanilla and oak undertones. The mouthfeel is round and soft with flavors of ripe fruit and well-integrated oak. The finish is long and smooth with well-balanced acidity and lingering, sweet, buttery, toasty, butter-cream flavors."
1123,Oati Rose Germardser Groneck L'Avbald Dio Valpinello Barbara Syrancula 2014,Pink and Rosé,Rosé,"Veneto, Italy","Light pink in color, this wine offers fresh and aromatic flavors of red fruit and citrus with sweet tones of herbs and spices. Light-bodied, pleasant, well-balanced, pleasant, well-rounded, fruity, fresh, round, easy-drinking, easy-drinking, pleasant, well-balanced, pleasant, fresh, fruity, pleasant, pleasant, well-rounded, refreshing, well-drinking, pleasant, pleasant, well-balanced, pleasant, pleasantly-sweet, pleasant, pleasantly-sweet, pleasant, well-lasting, well-friendly, pleasant, pleasant, pleasant, pleasant, fruity, fruity, pleasant, well-made, easy-drinking, good-drinking, pleasant, well-drinking, pleasant, fruity, pleasant, pleasing, well-made, pleasant, well-made, pleasant, pleasant, pleasant, pleasant, well-drinking, well-friendly, well-drinking, pleasant, well-friendly, well-friendly, pleasant, fruity, pleasant, pleasant, well-drinking, pleasant, pleasantly-sweet, pleasant, well-drinking, pleasant-sweet, well-drinking, pleasant-drinking, pleasant"
1124,Hest Roffin Lan Nerempos Blen 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Aromas of sweet spice and ripe fruits are followed by flavors of dark berries, cherries, plums and red cherries with nuances of leather, dried herbs, tobacco and sweet vanilla. The mouthfeel is soft and round, with juicy tannins that are well-integrated, but not overbearing. The finish is long and fruity with lingering flavors of blackberry and Ed Letters, which are accompanied by mineral, tobacco and coffee notes."
1125,Dowasca Shiraz-Heigraner Rose 2017,Pink and Rosé,Rosé,"Livermore Valley, Central Coast, California","The 2017 Rosé is an excellent companion to a wide variety of food styles, especially sushi, grilled tuna, scallops, shrimp, crab, scallops, lobster, crab, scallops, shellfish, and crab, as well as smoked salmon and Asian food."
1126,Folanno Santa Resa Ala Ranoja 2014,Red Wine,Tempranillo,"Rano, Spain","Vibrant cherry color with a hint of garnet. Very expressive nose with spicy aromas and subtle floral tones.  Round, medium-bodied mouthfeel with smooth tannins and a well-balanced acidity.  aromas of black fruit, coffee, and mineral notes.  It is a wine that is easy to drink, elegant, and well-balanced, with lingering finish."
1127,Capa Matousta Picoan 2010,Red Wine,Other Red Blends,Chile,"Intense ruby red with violet tones. Rich and fresh aromas of blackberries, black cherries and spices with some spicy notes. Well-balanced, smooth, well-structured, with well-balanced acidity. Fresh, well-structured with soft tannins and a long finish."
1128,Hoccuin Morjant Reserva Cabernet Sauvignon (half-bottle) 2009,Red Wine,Cabernet Sauvignon,Chile,"Hony, full-bodied wine, with a rich and deep ruby red color.  The nose offers delicate aromas of ripe fruits and spices, complemented by pleasant notes of toastiness.  On the palate, this wine is full-bodied, with ripe, well-integrated tannins, excellent structure and a long finish.  The wine is ready to drink now, but will cellar well for the next 5 to 7 years."
1129,Blovle Cabernet Sauvignon 2008,Red Wine,Cabernet Sauvignon,Chile,"Lively and fresh aromas of black fruits, spices and sweet spices. The wine is well-balanced with firm and silky tannins that give the wine an extra dimension.  of ripe blackberries, black cherries, and blackberries with hints of vanilla and coffee."
1130,Jamay yonn Cabernet Sauvignon 2018,Red Wine,Cabernet Sauvignon,"Mendoza, Argentina","Bright ruby red in color, with violet tones.  The nose is fresh and fruity with floral notes.  The palate is well balanced with ripe tannins, and sweet fruit.  It has a long finish with a touch of acidity."
1131,Willara Reserva Cabernet Sauv Blen 2012,Red Wine,Cabernet Sauvignon,"Colchagua Valley, Rapel Valley, Chile","The Reserva Cabernet Sauvignon is a deep garnet-colored wine with an elegant bouquet of ripe fruit, floral notes, vanilla and spicy aromas.  It has good structure and body, well-balanced acidity, good tannins and good persistence."
1132,Ancia Cree Wintery Grand Chalos Conto Merlot 2013,Red Wine,Merlot,"Central Coast, California","The 2013 Wintery Grand Chalos Conto is a great match for grilled steak, grilled vegetables, and roasted herbs, and spicy Asian foods. The wine is ready to drink now, and will cellar well over the next 5-7 years. .  wine. It has a ruby color with a slight garnet rim. Aromas of blackberries, cassis, and cherries dominate with a hint of caramel and toastiness. The palate has vibrant flavors of blueberries, blackberries, and sweet cherries, with good acidity and good mouthfeel. The tannins are well-integrated, with good acidity providing good balance and lift. It is ready to drink now and will cellar well over the next 5-7 years."
1133,Chateau Failoner Blanc Rose 2003,Pink and Rosé,Rosé,France,"A lovely, brilliant pale pink color. On the nose, the aromas are delicate, clean and delicate, with a hint of red fruits. A dry and fruity wine. This is a very fresh, easy drinking wine with a good balance between acidity and sugar. This is a wine that can be drunk young, and is also good with fish and seafood dishes."
1134,Dandone Classichon Ceacett Bourgagnyse Bondarello 2016,White Wine,Chardonnay,"Burgundy, France","Ceacett’s Chardonnay is an elegant wine with a pale straw color. The nose is dominated by citrus, white flowers, and delicate flinty notes. The palate is very fresh and generous, with a pleasing mineral tone, mineral notes, and a hint of green apple. The wine is well-balanced, supple and juicy on the finish, with a hint of mineral and citrus notes. It can be enjoyed as an aperitif or paired with a wide variety of foods, particularly seafood, shellfish, fowl, Asian dishes, vegetable dishes, creamy sauces, soups, and cheese."
1135,Kidpi Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,"Napa Valley, California","This vintage of Napa Valley Cabernet Sauvignon exhibits classic varietal characteristics with aromas of black cherry, currant, and mineral tones. Flavors mirror aromas with flavors of ripe cherry, plum, and sweet caramel. The palate is rich and round with a long and silky finish."
1136,Beringer Merlot 1999,Red Wine,Merlot,"Central Coast, California","This wine is a versatile food companion.  The flavors mirror aromas with the aromas of bright red fruit, black cherry, and floral tones enhanced by the oak barrel influences.  The mouth feel is soft and smooth, with smooth tannins and a long, pleasant finish.  The overall impression is one of a good wine with good character and balance.  This is a well-crafted wine, which is enjoyable now or can be cellared for up to four years.  Enjoy this wine now through 2005.   We suggest this wine be served with fish, poultry, lamb, and veal dishes with a slight sweetness, poultry and mild cheeses."
1137,Raftinmas Barolo Trabens Riesligna 2014,Red Wine,Nebbiolo,"Barolo, Piedmont, Italy","Intense ruby red color with light garnet reflections. It has an elegant bouquet, with toasty aromas, red fruit, coffee, sweet spices, pepper, tobacco, and a touch of violets.  In the mouth it is warm and round, with velvety, sweet tannins, good structure, and a long and pleasant finish."
1138,Oseno Cabernet Sauvignon 1997,Red Wine,Cabernet Sauvignon,"Central Coast, California","The trash-can and pencil lead aromas are immediately appealing, but will develop with additional time. The aromas are reminiscent of fresh fruit with hints of anise, blackberries and cassis.  The mouth feel is soft and round, with flavors of vanilla, cinnamon and a hint of chocolate and ripe fruit.  The finish is long and soft, with lingering flavors of cherries, spices, and vanilla.  The wine is ready to drink now and will continue to improve for at least the next 5-6 years.  We recommend that you serve this wine now or cellar it for 2- 3 years.  We suggest opening the bottle an hour before enjoying this wine."
1139,Carolo Vinos rrosnottary Reservie Reserva 2006,Red Wine,Other Red Blends,Spain,"This wine has a lovely purple-red color with light purplish highlights. The nose reveals attractive aromas of blackberry, chocolate, pepper and smoke. The mouthfeel is soft and fruity with supple, well-balanced tannins. The wine has a very pleasant finish with lingering acidity and sweet, ripe tannins."
